latitude	longitude	Sensor_ID	Sensor_Name
-37.80988941	144.96134331	55	Elizabeth St-La Trobe St (East)
-37.81414074	144.9660938	45	Little Collins St-Swanston St (East)
-37.81862929	144.97169395	7	Birrarung Marr
-37.80996494	144.96216521	62	La Trobe St (North)
-37.82011242	144.96291898	14	Sandridge Bridge
-37.82401776	144.95604426	25	Melbourne Convention Exhibition Centre
-37.81379749	144.96995745	39	Alfred Place
-37.81362542	144.97323592	17	Collins Place (South)
-37.81064378	144.96447132	15	State Library
-37.81160331	144.96220077	47	Melbourne Central-Elizabeth St (East)
-37.81101523	144.96429485	3	Melbourne Central
-37.81965808	144.96863453	29	St Kilda Rd-Alexandra Gardens
-37.81457987	144.94292398	12	New Quay
-37.81982992	144.95102556	9	Southern Cross Station
-37.81121849	144.96656807	30	Lonsdale St (South)
-37.81911704	144.96558256	6	Flinders Street Station Underpass
-37.81487988	144.9660878	4	Town Hall (West)
-37.81234775	144.96153311	56	Lonsdale St - Elizabeth St (North)
-37.80008565	144.96386412	42	Grattan St-Swanston St (West)
-37.81874249	144.96787656	5	Princes Bridge
-37.79808191	144.96721014	50	Faraday St-Lygon St (West)
-37.81252157	144.9619401	52	Elizabeth St-Lonsdale St (South)
-37.81380667	144.96516719	2	Bourke Street Mall (South)
-37.8134944	144.96515324	1	Bourke Street Mall (North)
-37.81172913	144.9682466	20	Chinatown-Lt Bourke St (South)
-37.81537985	144.9741505	34	Flinders St-Spark La
-37.8176735	144.95025595	57	Bourke St Bridge
-37.80999341	144.97227588	40	Lonsdale St-Spring St (West)
-37.8016968	144.96658911	31	Lygon St (West)
-37.81237202	144.96550671	19	Chinatown-Swanston St (North)
-37.80310271	144.96671452	37	Lygon St (East)
-37.81652527	144.96121063	36	Queen St (West)
-37.81686074	144.95358075	58	Bourke St - Spencer St (North)
-37.82293543	144.94717511	8	Webb Bridge
-37.81564989	144.93970695	11	Waterfront City
-37.81344861	144.97305354	18	Collins Place (North)
-37.80730067	144.95956055	49	QVM-Therry St (South)
-37.80869542	144.96049404	26	QV Market-Elizabeth St (West)
-37.81786445	144.96506823	22	Flinders St-Elizabeth St (East)
-37.81887962	144.95449198	24	Spencer St-Collins St (North)
-37.80606888	144.95644693	27	QV Market-Peel St
-37.82129924	144.96879309	28	The Arts Centre
-37.79690473	144.96440378	44	Tin Alley-Swanston St (West)
-37.80631581	144.95866698	48	QVM-Queen St (East)
-37.80841814	144.95906317	51	QVM-Franklin St (North)
-37.81876473	144.94710545	10	Victoria Point
-37.79844525	144.96411782	43	Monash Rd-Swanston St (West)
-37.81909256	144.95452749	23	Spencer St-Collins St (South)
-37.81244703	144.96778757	21	Bourke St-Russell St (West)
-37.82017828	144.96508877	35	Southbank
